timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 15:48:58.400, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:58.502, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:58.604, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:58.706, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:58.807, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:58.910, 0 %, 0 %, 378 MiB, 51
2026/06/25 15:48:59.012, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.114, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.217, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.324, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.443, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.545, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.647, 0 %, 2 %, 378 MiB, 51
2026/06/25 15:48:59.749, 0 %, 5 %, 378 MiB, 51
2026/06/25 15:48:59.851, 0 %, 5 %, 378 MiB, 51
2026/06/25 15:48:59.953, 0 %, 5 %, 378 MiB, 51
2026/06/25 15:49:00.056, 0 %, 5 %, 387 MiB, 51
2026/06/25 15:49:00.161, 7 %, 7 %, 387 MiB, 51
2026/06/25 15:49:00.264, 7 %, 7 %, 3203 MiB, 51
2026/06/25 15:49:00.366, 59 %, 9 %, 3203 MiB, 51
2026/06/25 15:49:00.467, 59 %, 9 %, 3203 MiB, 51
2026/06/25 15:49:00.570, 73 %, 5 %, 3203 MiB, 51
2026/06/25 15:49:00.672, 73 %, 5 %, 3429 MiB, 51
2026/06/25 15:49:00.775, 24 %, 3 %, 3429 MiB, 51
2026/06/25 15:49:00.879, 24 %, 3 %, 3429 MiB, 51
2026/06/25 15:49:00.981, 9 %, 8 %, 3429 MiB, 52
2026/06/25 15:49:01.082, 9 %, 8 %, 3429 MiB, 52
2026/06/25 15:49:01.184, 0 %, 0 %, 3429 MiB, 52
2026/06/25 15:49:01.286, 0 %, 0 %, 3429 MiB, 52
2026/06/25 15:49:01.387, 0 %, 0 %, 3429 MiB, 52
2026/06/25 15:49:01.489, 0 %, 0 %, 3439 MiB, 52
2026/06/25 15:49:01.592, 9 %, 9 %, 3439 MiB, 52
2026/06/25 15:49:01.694, 9 %, 9 %, 3439 MiB, 52
2026/06/25 15:49:01.796, 1 %, 1 %, 3455 MiB, 52
2026/06/25 15:49:01.898, 1 %, 1 %, 3455 MiB, 52
2026/06/25 15:49:01.999, 21 %, 16 %, 3455 MiB, 52
2026/06/25 15:49:02.101, 21 %, 16 %, 3455 MiB, 52
2026/06/25 15:49:02.203, 82 %, 83 %, 3455 MiB, 52
2026/06/25 15:49:02.304, 82 %, 83 %, 3455 MiB, 52
2026/06/25 15:49:02.406, 86 %, 88 %, 3455 MiB, 52
2026/06/25 15:49:02.508, 86 %, 88 %, 3455 MiB, 59
2026/06/25 15:49:02.611, 85 %, 87 %, 3455 MiB, 59
2026/06/25 15:49:02.713, 85 %, 87 %, 3455 MiB, 59
2026/06/25 15:49:02.815, 85 %, 87 %, 3455 MiB, 59
2026/06/25 15:49:02.916, 85 %, 87 %, 3455 MiB, 59
2026/06/25 15:49:03.017, 85 %, 87 %, 3455 MiB, 60
2026/06/25 15:49:03.119, 86 %, 88 %, 3455 MiB, 60
2026/06/25 15:49:03.223, 86 %, 88 %, 3455 MiB, 60
2026/06/25 15:49:03.326, 87 %, 89 %, 3455 MiB, 60
