timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:11:25.865, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:25.969, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.071, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.174, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.277, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.380, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.482, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.585, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.687, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.790, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.892, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:26.996, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:27.098, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:27.201, 0 %, 0 %, 378 MiB, 48
2026/06/25 16:11:27.304, 1 %, 3 %, 378 MiB, 48
2026/06/25 16:11:27.407, 1 %, 3 %, 378 MiB, 48
2026/06/25 16:11:27.510, 0 %, 5 %, 378 MiB, 48
2026/06/25 16:11:27.616, 0 %, 5 %, 378 MiB, 48
2026/06/25 16:11:27.719, 0 %, 6 %, 378 MiB, 48
2026/06/25 16:11:27.821, 0 %, 6 %, 378 MiB, 48
2026/06/25 16:11:27.925, 0 %, 9 %, 378 MiB, 48
2026/06/25 16:11:28.028, 0 %, 9 %, 378 MiB, 48
2026/06/25 16:11:28.131, 0 %, 8 %, 378 MiB, 48
2026/06/25 16:11:28.233, 0 %, 8 %, 378 MiB, 48
2026/06/25 16:11:28.336, 1 %, 21 %, 378 MiB, 48
2026/06/25 16:11:28.438, 1 %, 21 %, 378 MiB, 48
2026/06/25 16:11:28.540, 1 %, 7 %, 378 MiB, 48
2026/06/25 16:11:28.643, 1 %, 7 %, 378 MiB, 48
2026/06/25 16:11:28.746, 0 %, 7 %, 378 MiB, 48
2026/06/25 16:11:28.849, 0 %, 7 %, 378 MiB, 48
2026/06/25 16:11:28.951, 0 %, 8 %, 378 MiB, 48
2026/06/25 16:11:29.053, 0 %, 8 %, 378 MiB, 48
2026/06/25 16:11:29.155, 0 %, 8 %, 386 MiB, 48
2026/06/25 16:11:29.258, 0 %, 8 %, 473 MiB, 48
2026/06/25 16:11:29.359, 8 %, 5 %, 378 MiB, 48
2026/06/25 16:11:29.461, 8 %, 5 %, 395 MiB, 48
2026/06/25 16:11:29.562, 2 %, 0 %, 378 MiB, 48
2026/06/25 16:11:29.664, 2 %, 1 %, 378 MiB, 48
2026/06/25 16:11:29.776, 2 %, 1 %, 391 MiB, 48
2026/06/25 16:11:29.878, 6 %, 1 %, 378 MiB, 48
2026/06/25 16:11:29.980, 6 %, 1 %, 378 MiB, 49
2026/06/25 16:11:30.082, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:11:30.183, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:11:30.285, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:11:30.388, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:11:30.490, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:11:30.593, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:11:30.694, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:11:30.796, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:11:30.898, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:11:31.000, 0 %, 0 %, 378 MiB, 50
