timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:21.500, 0 %, 2 %, 378 MiB, 50
2026/06/25 16:04:21.602, 0 %, 2 %, 378 MiB, 50
2026/06/25 16:04:21.704, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:21.807, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:21.909, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.011, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.115, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.217, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.320, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.422, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.529, 0 %, 5 %, 378 MiB, 50
2026/06/25 16:04:22.631, 0 %, 1 %, 378 MiB, 50
2026/06/25 16:04:22.735, 0 %, 1 %, 378 MiB, 50
2026/06/25 16:04:22.837, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:22.940, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.049, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.152, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.254, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.357, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.460, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.562, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.665, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.767, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.869, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:23.972, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:24.074, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:24.176, 0 %, 0 %, 387 MiB, 50
2026/06/25 16:04:24.278, 2 %, 1 %, 386 MiB, 50
2026/06/25 16:04:24.380, 2 %, 1 %, 1785 MiB, 50
2026/06/25 16:04:24.482, 28 %, 7 %, 3335 MiB, 50
2026/06/25 16:04:24.583, 28 %, 7 %, 3335 MiB, 51
2026/06/25 16:04:24.685, 49 %, 5 %, 3335 MiB, 51
2026/06/25 16:04:24.787, 49 %, 5 %, 3335 MiB, 51
2026/06/25 16:04:24.890, 42 %, 3 %, 3335 MiB, 51
2026/06/25 16:04:24.992, 42 %, 3 %, 3335 MiB, 51
2026/06/25 16:04:25.095, 45 %, 3 %, 3561 MiB, 52
